,Authors,Title,Cities,Publisher,Years,Fund,Segni
819,"De Mattei, Rodolfo",I cattivi pensieri,"Roma, Edizioni di Storia e Letteratura",Garzanti,1914,BTB Segn. 2217 ,nan
820,"De Mirecourt, Eugene",Il Fucino ed il suo prosciugamento,Napoli,Lapi,1836,BAL ,Dediche ad Adele Gadda Lehr in data 2.1905.
821,"De Napoli, Ferdinando",Fortune e sfortune della famosaMoll Flanders,"Bergamo, Istituto Italiano D’Arti Grafiche",Einaudi,1921,BAL ,nan
822,"Denis, Ferdinando",La peste a Londra. Introduzione di E.Radius,Milano,Bompiani,1936,BAL ,nan
823,"De Pereda, Josè Maria",Robinson Crusoè. Con una nota di P.Lecaldano,Firenze,Rizzoli,1941,BTB Segn. 374 ,nan
824,"De Pisis, Filippo",Un coraggio splendente,Paris,Sugar,1950,BAL ,nan
825,"De Pisis, Filippo",. L’innocenza,"Roma, Anonima Romana Editoriale",Sodalizio del libro,1962,BTB Segn. 790 ,Dedica dell’autore in data 3.1944.
826,"De Rabutin – Chantal, Marie",. Sangue + fango = logos passione,Venezia,Giuntoli,1952,BTB Segn. 1939 ,nan
827,Ead.,. Il sole e il vampiro,"MilanoVerona, Mondadori",Edizioni di Opera aperta,1954,BTB Segn. 1940 ,nan
828,"De Roberto, Federico",. Storia di una bella donna,"Milano,Longanesi",La nuova sinistra,1953,BTB Segn. 794 ,nan
829,"De Roberto, Federico",Altris poesiis,Firenze,s.e.,1932,BTB Segn. 797-799 ,nan
830,"De Rubejs, Jean Baptiste", Elegie in friulano,Firenze,Edizioni di TrevisoLibreria Canova,1939,BTB Segn. 796 ,nan
831,"De Robertis, Giuseppe", Vòt poesiis,Paris,s.e.,1913,BTB Segn. 795 ,nan
832,"De Ruggiero, Guido",Œuvres complètes,Paris,Gallimard,1044,BTB Segn. 791-793 ,Nota di possesso autografa.
833,"De Ruggiero, Guido",Œuvres completes,Milano,Gallimard,1944,BAL ,nan
834,"De Sanctis, Francesco",Sommario della storia dei popoli antichi,Milano,Bianchi,1873,BTB Segn. 1826-1827 ,nan
835,"De Sanctis, Francesco",Misa Bovetti e altre cronache,"Paris, BertrandArtrus",All’insegna del Pesce d’Oro,1828,BTB Segn. 1828 ,Parzialmente intonso.
836,"De Sanctis, Francesco",Id,"Firenze,Vallec chi",Id. Modena,1938,BTB Segn. 2308 ,nan
837,"De Sanctis, Francesco", I racconti,Bari,Garzanti,1951,BTB Segn. 375 ,nan
838,"De Sanctis, Francesco", Il ricordo della Basca,"Bari,Laterza",Parenti,1945,BTB Segn. 376 ,nan
839,"Descalzo, Giovanni",  Ritorno in città,Torino,Guanda,1962,BTB Segn. 2168-2170 ,nan
840,"Descartes, René",Eclisse,Milano,Edizioni della Cometa,1939,BTB Segn. 2474-2476 ,nan
841,"Descartes, René",Se s’abbia a prender moglie. Traduzione di U.E. Paoli,Torino,Le Monnier,1936,BTB Segn. 1747 ,nan
842,"De Stefani, Livia","Il Trentino, la Venezia Giulia e la Dalmazia nel Risorgimento italiano. Prefazione di S. Barzilai",Torino,Risorgimento.,1926,BTB Segn. 2009 ,Intonso.
843,Ead.,"I Carracci. Roma, Istituto Nazionale L.U.C.E",,Istituto Nazionale L.U.C.E.,1953,BAL ,nan
844,"De Tullio, Giovanni",Er gusto mio. Disegni di A. Ciarrocchi,"Milano, All’insegnadel pesce d’oro",Tip. Bardi,1934,BTM ,Parzialmente intonso. Sottolineature e postille.
845,"Deutscher, Isaac"," Marziale per un mese. Premessa di E. Paratore. Roma, Tip",Bari,Tip. Andreocci,1956,BAL ,nan
846,"De Viti De Marco, Antonio", Omaggio a,"Bari, Società Tipografica Editrice Barese",Il Nuovo Belli,1867,BTB Segn. 25-26 ,nan
847,"Devoto, Giacomo"," La peste a Roma. Roma, Tip","Padova, Officinegrafiche STEDIV",Tip. Bardi,1967,BAL ,Dedica dell’autore in data 16.12.1954.
848,"Devoto, Giacomo"," Taja ch’è rosso. Poesie romanesche. Prefazione di A. Baldini. Roma, Migliaresi, s.d. Con un «glossarietto»","Milano, Mondadori",s.d. Con un «glossarietto».,1861,BTB Segn. 937 ,nan
849,"Devoto, Giacomo – Migliorini,", Tormarancio,"Milano,Mondadori",Tip. Bardi,1966,BTB Segn. 2208 ,nan
850,"Diano, Carlo",L’iconicella. Nuovi idilli,Milano,Guanda,1966,BAL ,nan
851,"Díaz González, Joaquin", Passeggeri del colle. Idilli,"Treves,Milano",Guanda,1947,BTB Segn. 1253-1254 ,Nota di possesso autografa di Enrico Gadda in data 10.1917.
852,Diccionario de la literatura, Trapasso di stagione,Torino,Guanda,1916,BTB Segn. 1255 ,nan
853,"Dickens, Charles",La curia romana. Lineamenti storicogiuridici,"Firenze, Le monnier",Edizioni di Storia e Letteratura,1889,BAL ,nan
854,"Dickens, Charles",  Atlante geografico: ad uso delle scuole ginnasiali liceali e tecniche,"Milano, All’insegna del pesce d’oro",Morano,1965,BTB Segn. 2411-2415 ,nan
855,"Dickinson, Emily",Visioni italiche,Venezia,Istituto Italiano D’Arti Grafiche,1970,BTB Segn. 2483 ,nan
856,"Dickson, Carter",Sud e magia,"Roma, Angelo Belardetti Editore",Feltrinelli,1932,BAL ,Timbro di possesso «Ing. Ettore Roscioni».
857,Dictionnaire de la langue,Polvere di Roma,"Madrid, Revista de Occidente",Parenti,1913,BAL ,nan
858,Dictionnaire,Saint Beuve,"Milano,Mondadori",Faure,1921,BTB Segn. 982 ,nan
859,"Diderot, Denis",  La bisessualità latente,Paris,Anonima Romana Editoriale,1970,BTB Segn. 1454 ,nan
860,"Diderot, Denis",Portogallo. Falconetti,Esemplare,Antonelli,1889,BTB Segn. 1455 ,nan
861,"Diehl, Charles",Sotileza,"London, The British publisher guide",Mondadori,1948,BTB Segn. 983 ,nan
862,"Diehl, Charles",Il marchesino pittore,Paris,Longanesi,1953,BTB Segn. 2378 ,nan
863,"Dieudonné, Eugène",Poesie,"ParisBruxelles, BelinMandar & Devaux",Vallecchi,1945,BTB Segn. 1123 ,nan
864,"Di Lauro, Raffaele",La Deposizione. Beato Angelico. Presentazione di F. M. Perkins,Paris,Electa,1933,BTB Segn. 2378 ,Dedica dell’autore.
865,"Dimier, Louis",marquise de SévignéLettres choisies de Madame de Sévigné,Paris,Garnier Frères,1944,BTB Segn. 2268-2269 ,nan
866,"Di Pino, Guido",.Lettres choisies de Madame de Sévigné,Torino,Nelson editeurs,1930,BAL ,nan
867,Discorsi celebrativi dell’entrata,I Viceré,"Milano, Garzanti",Treves,1965,BTB Segn. 2468-2469 ,nan
868,Dizionario delle battaglie.,I Viceré,"Firenze, Beltrami",Garzanti,1929,BAL ,nan
869,,"De’ ritratti, ossia Trattato per cogliere le fisionomie",,BertrandArtrus,1926,BTB Segn. 2498-2504 ,Postille.
870,"Dobelli, Ferdinando",Saggio sul Leopardi,"Roma, Società Arti Grafiche",Vallec chi,1941,BTB Segn. Op. 81 ,nan
871,"Dobzhansky, Theodosius",L’esistenzialismo. Aggiunta allaprima edizione dei Filosofi delNovecento,Paris,Laterza,1941,BTB Segn. 2491 ,nan
872,"Die Dolomiten. s.l., s.e., s.d.",La filosofia contemporanea,Firenze,Laterza,1942,BTB Segn. Op. 12 ,nan
873,"Dommarco, Alessandro",Mazzini e la scuola democratica. Candeloro,"Roma, Ministero Lavori Pubblici",Einaudi,1950,BTB Segn. 2478-2479 ,nan
874,"Doni, Anton Francesco","Saggi critici. Saggi, nuovi saggi,scritti critici e vari raccolti inquattro volumi","Milano, Guigoni",Treves,1917,BAL ,nan
875,"Doniselli, Casimiro",Saggio critico sul Petrarca. Introduzione di N. Sapegno,Milano,Einaudi,1948,BTB Segn. 2463-2464 ,nan
876,"Doniselli, Casimiro",La scuola cattolicoliberale e ilRomanticismo a Napoli. Candeloro,Torino,Einaudi,1915,BTB Segn. 2119 ,nan
877,"Doplicher, Fabio","Storia della letteratura italiana.Milano, Istituto Editoriale Italiano, s.d. («Classici italiani»), 3volumi",,3volumi.,1966,BAL ,nan
878,"Dorico, Enea",Paese e mito,"Brunacci, Milano, Garzanti",All’insegnadel pesce d’oro,1933,BTB Segn. 377 ,Intonso.
879,"D’Ors, Eugenio",Discorso sul metodo,"Brunacci, Milano",Laterza,1942,BTB Segn. 378 ,nan
880,"D’Ors, Eugenio",I principi della filosofia. Traduzione di A. Tilgher,,Società Tipografica Editrice Barese,1965,BTM ,Nota di possesso e data 10.06.1924. Dono del prof. Casimiro Doniselli. Sottolineature e postille.
881,"D’Ors, Eugenio",Descrizione delle sale accademiche al Boe del Liviano,"Firenze, Barbera, 19405",Officinegrafiche STEDIV,1932,BTM ,Nota di possesso e data 10.06.1924 Milano.
882,"Dos Passos, John",Gli affatturati,,Mondadori,1970,BAL ,nan
883,"Dossi, Carlo",.La vigna di uve nere,Milano,Mondadori,1948,BAL ,Nota di possesso di Enrico Gadda.
884,"Dostoevskij, Fëdor Michajlovič",Manuale per l’ufficiale in pacee in guerra,"Milano, Hoepli",Casati,1931,BTB Segn. 1587 ,nan
885,"Dostoevskij, Fëdor Michajlovič",DeutschItalienisches und ItalienischDeutsches Handwörterbuch. Nuovo dizionario portatileitalianotedesco e tedescoitaliano. Correzioni di F. Lanzinger e G,Roma,Pirotta,1930,BAL ,nan
886,"Dostoevskij, Fëdor Michajlovič",Il profeta disarmato: Leone Trotsky,Torino,Il profeta disarmato: Leone Trotsky,1932,BTB Segn. 914 ,Dedica del traduttore.
887,"Dostoevskij, Fëdor Michajlovič",La funzione della banca. Introduzione allo studio dei problemi monetari e bancari contemporanei,,Einaudi,1936,BTB Segn. 1256 ,nan
888,"Dostoevskij, Fëdor Michajlovič",Grammatiche,Romana,Grammatiche,1920,BTB Segn. 379 ,nan
889,"Dostoevskij, Fëdor Michajlovič",Studi di stilistica,Milano,Le monnier,1920,BTB Segn. 1360-1361 ,nan
890,"Dostoevskij, Fëdor Michajlovič","– Migliorini,Bruno –  Cento anni di lingua italiana",Estratto da «Archivio di filosofia»,All’insegna del pesce d’oro,1953,BAL ,nan
891,"Dostoevskij, Fëdor Michajlovič",Forma ed Evento. Principi per unainterpretazione del mondo greco,Estratto da «Atti della Società Italiana di Scienze Naturali»,Neri Pozza,1936,BTB Segn. 1358 bis-1359 ,nan
892,"Dostoevskij, Fëdor Michajlovič",Scoperta d’un grande segreto nel l’arte del Giudizio Universale diMichelangelo,Roma,Angelo Belardetti Editore,1942,BTB Segn. 1363-1366 ,nan
893,"Dostoevskij, Fëdor Michajlovič",española. Marias,Milano,Revista de Occidente,1895,BTB Segn. 1362 ,Intonso.
894,"Dostoevskij, Fëdor Michajlovič",Diciottesima Esposizione Biennale Internazionale d’Arte,Milano,Diciottesima Esposizione Biennale Internazionale d’Arte,1886,BTB Segn. 1367 ,nan
895,"Dostoevskij, Fëdor Michajlovič",Davide Copperfield,"Milano, Alfieri & Lacroix",Mondadori,1954,BTB Segn. 1359 bis  ,Parzialmente intonso.
896,"Dostoevskij, Fëdor Michajlovič", Le magasin d’antiquités. Traduzione di A. Des Essarts,"Milano, Bompiani",Hachette,1966,BTB Segn. 1368 ,nan
897,"Dostoevskij, Fëdor Michajlovič","Poesie. Milano, Denti, s.d. («Poesia»: 1)",Paris,s.d. («Poesia»: 1). Esemplare,1920,BTB Segn. 1369 ,Nota di possesso autografa di Enrico Gadda in data 07.1917 S. Giustina.
898,Dove a Milano. Presentazione,The bowstring murders,Milano,The British publisher guide,1947,BTB Segn. 1370 ,nan
899,"D’Ovidio, Francesco",française,"Milano, Sonzogno",Hachette,1918,BAL ,Nota di possesso di Enrico Gadda in data 1917 Malpensa.
900,"Dubois Janni, Thérèse","françaisgrec, composé sur le plan des meilleurs dictionnaires françaislatins. Planche e Ch. A. Defauconpret","Firenze, Sansoni",BelinMandar & Devaux,1933,BAL ,nan
901,"Du Bos, Charles",françaiseitalienne,Torino,Librairie Larousse,1927,BTB Segn. 1371 ,Parzialmente intonso.
902,"Dubreuil, Hyacinthe",Œuvres,Torino,Gallimard,1913,BTB Segn. 1372 ,nan
903,"Ducati, Pericle", La religiosa,Milano,Einaudi,1919,BTB Segn. 2353 ,nan
904,"Ducati, Pericle",La civiltà bizantina,Torino,Garzanti,1919,BTB Segn. 2428 ,nan
905,"Ducati, Pericle", Teodora imperatrice di Bisanzio,Torino,Beltrami,1912,BTB Segn. 1408 ,nan
906,"Duclos, Adolphe","La vie des forçats. Paris, NRFGallimard, 19304 («Documents bleus»: 22)","Milano, Rizzoli",19304 («Documents bleus»: 22).,1958,BTB Segn. 884 ,Parzialmente intonso.
907,"Dugas, Ludovic",Le terre del Lago Tsana. Possibilità economiche attuali del Nord Ovest etiopico,"Lanciano, Carabba",Società Arti Grafiche,1944,BTB Segn. 2010 ,nan
908,"Dulles, John Foster",La vie raisonnable de Descartes,Firenze,Plon,1972,BTB Segn. 2178 ,nan
909,"Dumas, Alexandre",La polemica del Boccaccio,"Milano, Studio editoriale lombardo",Vallecchi,1937,BTB Segn. 2179-2180 ,nan
910,"Dupouy, Auguste",La Direttissima BolognaFirenze,Milano,Ministero Lavori Pubblici,1950,BTB Segn. 1566 ,nan
911,"Duproix, Paul",dell’Italia nelle Nazioni Unite (Roma 31 gennaio,Sesto San Giovanni,dell’Italia nelle Nazioni Unite (Roma 31 gennaio,1953,BTB Segn. 2289 ,nan
912,"Dupuy, Théodore",Dizionario biografico universale,Torino,Guigoni,1958,BTB Segn. 1997 ,nan
913,"Duran, Jorge Gaítan",Dizionario degli autori,"Milano, Società Tipografica Milanese",Fabbri,1924,BTB Segn. Op. 80 ,nan
914,"Durrell, Lawrence",Dizionario della lingua italiana. Bellini. Prefazione di G. Meini,Napoli,UTET,1952,BTB Segn. 1515 ,nan
915,"Dwelshauvers, Georges",,"Milano, Mazzotta",.,1913,BTB Segn. 1124 ,nan
916,"Eckermann, Johann Peter",,"Paris, Corréa",,1790,BTM ,Sottolineature e postille.
917,"Eckermann, Johann Peter",Dizionario Garzanti franceseitaliano italianofrancese. Diretto da U. Salati per la redazione lessicografica Garzanti diretta da G. Cusatelli con la supervisione G,"Paris, Grasset",Garzanti,1919,BTB Segn. 1125 ,Dedica dell’autore ad Adele Gadda Lehr.
918,"Eddington, Arthur Stanley",Dizionario Garzanti franceseitaliano italianofrancese. Diretto da U. Salati per la redazione lessicografica Garzanti diretta da G. Cusatelli con la supervisione G,,Garzanti,1928,BTB Segn. 915 ,Dedica dell’autore. Intonso.
919,"Einstein, Albert", Dizionario ingleseitaliano.d,,* Dizionario ingleseitaliano.d.,1929,BAL ,nan
920,"Electricity in Mining. Berlino,",Dizionario italianospagnolo spa gnoloitaliano. Savelli,(ma:,2 volumi.,1949,BTB Segn. 1998 ,E
921,Elenco degli allievi morti in, Dizionario latinoitaliano e italianolatino,Gevens Willaert,* Dizionario latinoitaliano e italianolatino.,1954,BTB Segn. 1224-1225 ,nan
922,Elenco degli allievi morti in,Dizionario letterario delle opere e dei personaggi di tutti i tempi e di tutte le letterature,Paris,Bompiani,1933,BTB Segn. 1226 ,"Nota di possesso autografa in data 1918  Celle, Hannover. Sottolineature."
923,"Elfenhans, Theodor",Dizionario tascabile italianotedesco tedescoitaliano con indicazione della pronuncia secondo il sistema fonetico del metodo ToussaintLangenscheidt,,Hoepli,1923,BTB Segn. 2067 ,nan
924,"Elia, Olga",  I Papi da San Pietro a Pio IX,Milano,F. Dobelli,1952,BTB Segn. 2069 ,nan
925,"Eliot, Thomas Stearns",L’evoluzione della specie umana,"Paris, Colin",Einaudi,1938,BTB Segn. 1829 ,Nota di possesso autografa in data 9.03.1921.
926,Enciclopedia Garzanti della,"Die Dolomiten. s.l., s.e",Genève,s.d.,1916,BTB Segn. 2105 ,nan
927,"Enciclopedia italiana. Roma,","Tèmbe stòrte. Poesie in dialetto abruzzese. Roma, Tip. Edit",Milan,Tip. Edit. Romana,1916,BAL ,nan
928,"Enciclopedia Treccani. Milano,",Le più belle pagine. Scelte da M. Puccini,Bogotà,Treves,1916,BAL ,nan
929,"Enriques, Federigo – Amaldi, Ugo","La fisiologia del labirinto e i sensi generali matematici (spazio, tempo, numero)","Milano, Garzanti",XI (,1916,BAL ,nan
930,Environs de Paris., Problemi di psicofisiologia dell’udito e della fonazione,Paris,IX (,1916,BAL ,Nota di possesso autografa. Postille.
931,Epitteto,Il girochiuso,"Firenze, Sansoni",Trevi,1917,BAL ,nan
932,Epitteto,Guglielmo Tell il liberatore della Svizzera,"Weimar, Riepenhauser",Carlo Barbini,1951,BTB Segn. 1257 ,nan
933,Eraclito,Epopea della Spagna. Padovani,Milano,Bompiani,1952,BAL ,nan
934,"Ermini, Filippo", Gigiotti Zanini,"Paris, GauthierVillars",Alfieri & Lacroix,1960,BTB Segn. 2488-2489 ,nan
935,Eschilo, La valle di Giosafat,"Lanciano, Carabba",Bompiani,1952,BTB Segn. Op. 13 ,Annotazione sull’ultima pagina.
936,Eschilo,42e parallèle,"Berlino, SiemensSchuckertwerke",Grasset,1949,BAL ,nan
937,Eschilo,Dossi,"Milano, Istituti superiori di Milano",Garzanti,1944,BAL ,nan
938,Eschilo,Delitto e castigo. Cinti,,Sonzogno,1918,BAL ,nan
939,Eschilo, Delitto e castigo,Pompei,Sansoni,1966,BAL ,nan
940,Eschilo, I demoni,", Edizioni Ali",Slavia,1967,BTB Segn. 2121 ,"Segnalibro inserito. Nota di possesso, Ing. C.E. Gadda 29.10.1924 Milano."
941,"Esenin, Sergej Aleksandrovič", I fratelli Karamazov,,Slavia,1935,BTB Segn. 2318 ,nan
942,Esercito Italiano. Comando, I fratelli Karamàzov,Milano,Corticelli,1875,BTB Segn. 1830 ,nan
943,Esercito Italiano. Comando, Il giocatore,"Roma, Istituto dell’Enciclopedia Italiana",Einaudi,1942,BTB Segn. 1831 ,nan
944,Esercito Italiano. Comando, L’idiota,Bestetti,Einaudi,1901,BTB Segn. 1832 ,nan
945,Esercito Italiano. Comando, Memorie di una casa morta. Traduzione di A. Polledro,,Rizzoli,1901,BTB Segn. 1786 ,nan
946,Esercito Italiano. Comando, Povera gente,"London, Enciclopedia Britannica",Carabba,1949,BTB Segn. 5 ,nan
947,Esiodo, Racconti e romanzi. Introduzione di G. Zamboni,"Bologna, Zanichelli",Sansoni,1950,BTB Segn. 4 ,nan
948,Esopo, I Ragazzi,Paris,Studio editoriale lombardo,1959,BTB Segn. 7 ,nan
949,"Espagne. Paris, Hachette, 1952", Il sosia,"Milano, IstitutoEditoriale Italiano",Garzanti,1938,BTB Segn. 1 ,nan
950,"Espagne Michelin. Paris, Pneu", Umiliati e offesi.G. Tenconi,FrançoisBastien,Barion,1933,BTB Segn. 6 ,Intonso.
951,Euripide, Umiliati e offesi,,Frassinelli,1920,BTB Segn. 2-3 ,nan
952,"Evans, Ivor",Dove a Milano. Presentazione di C. Cederna,"Roma, Formìggini",Società Tipografica Milanese,1920,BAL ,nan
953,Exhibition of Masterpieces of,Versificazione romanza. Poetica e poesia medioevale,"MilanoRomaNapoli, Dante Alighieri",,1929,BTB Segn. Op. 125 ,Intonso.
954,"Fabre, Alessandro",August Strindberg. Una biografia. Janni,Torino,Mazzotta,1807,BTB Segn. Op. 121 ,nan
955,"Fagiolo Dell’Arco, Maurizio",Approximations: 4e série,"Bologna, Cappelli",Corréa,1847,BTB Segn. Op. 120 ,nan
956,"Fagiolo Dell’Arco, Maurizio –",Nouveaux standards,"Milano, Dante Alighieri –Città di Castello",Grasset,1968,BTB Segn. Op. 122 ,nan
957,"Falangola, M.E.","Lisippo. Roma, Istituto Nazionale L.U.C.E",Torino,Istituto Nazionale L.U.C.E.,1959,BTB Segn. Op. 123-124 ,"Due copie, di cui una intonsa."
958,"Faldella, Giovanni"," Il santuario di Olimpia. Roma, Istituto Nazionale L.U.C.E",Milano,Istituto Nazionale L.U.C.E.,1941,BTB Segn. 1969 ,Parzialmente intonso.
959,"Faldella, Giovanni"," Storia d’Italia illustrata. I. L’Italia antica. Introduzione di P. Fedele. Milano, Mondadori, s.d","Milano, All’insegna del pesce d’oro",s.d. (ma:,1927,BTB Segn. 8 ,nan
960,"Falorsi, Guido",Bruges en un jour. G,Esercito Italiano,Bruges en un jour. G.Gevens Willaert,1874,BTB Segn. 2316 ,nan
961,"Falorsi, Guido",Vocabulaire de psychologie,EsercitoItaliano,Hachette,1917,BTB Segn. 2383 ,nan
962,"Falqui, Enrico",Gli Stati Uniti e i problemi mondiali. s.l,Esercito Italiano,USIS,1872,BTB Segn. 9  ,Postille.
963,"Falqui, Enrico",I Borgia,,Aurora,1887,BAL ,nan
964,"Fast, Howard",Géographie des lettres françaises,"Esercito Italiano, 5 agosto",Colin,1897,BTB Segn. 2207 ,F
965,"Fatta, Corrado",Kant et Fichte et le problème de l’éducation,Bologna,Georg & C.ie,1941,BTB Segn. 119 ,nan
966,"Favorini, Egiziaca",Un moraliste sceptique et un poète satirique du XVI siècle. Michel Montaigne et Mathurin Régnier,Milano,Lombardi,1848,BTB Segn. 2226 ,Dedica dell’autore.
967,"Fazio Allmayer, Vito",El libertino,Paris,Espiral,1961,BAL ,nan
968,"Fazio Allmayer, Vito",L’ineffabile Antrobus,(ma:,Garzanti,1972,BTB Segn. Op. 3 ,nan
969,Fedro,La psychologie française contemporaine,(ma:,Alcan,1927,BTB Segn. 380 ,nan
970,Fedro,Colloqui con Goethe,"London, Staples",s.d. (ma:,1926,BTB Segn. 381 ,nan
971,"Feller, Friedrich Ernest", Gespräche mit Goethe. Kröber,"Roma, Division of Fine Arts – Region IV – Allied Military Government",Riepenhauser,1929,BTB Segn. 1456 ,nan
972,"Fénélon, François de Salignac",Luci dall’infinito. Introduzione di G. Abetti,Torino,Hoepli,1915,BTB Segn. 1457 ,nan
973,"Fénélon, François de Salignac",La théorie de la relativité restreinte et généralisée (mise à la portée de tout le monde). Traduzione di J. Rouvière. Prefazione di E. Borel,Roma,GauthierVillars,1952,BTB Segn. 804 ,Dedica dell’autore in data 1952.
974,"Fenoglio, Beppe",Gli Eleati: Frammenti. Traduzione di M. Cardini,Roma,s.d. («Cultura dell’anima»).,1946,BTB Segn. 382 ,nan
975,"Fenoglio, Beppe",Electricity in Mining,"Roma, Anonima Romana Editoriale",SiemensSchuckertwerke,1955,BTB Segn. 1258 ,nan
